run_id,document,term,normalized_term,entity_type,extraction_confidence,ontology_id,ontology_label,ontology_name,mapping_confidence,needs_new_term,governance_action,governance_reason,assigned_steward,status,mapper_reasoning
620e2e4d,DOC-CAR-T-001,trypan blue exclusion,trypan blue exclusion,assay,0.95,,,,0.18,True,escalate,No suitable existing ontology term found; new term proposal required.,assay_ontology_steward,escalated,"The target concept is an assay/method (trypan blue exclusion viability assay) used to determine viable cell density, but all provided candidates are terms for the chemical dye trypan blue (or related entries), not the exclusion assay itself. A new term (or a different ontology match specifically for the trypan blue exclusion/viability assay) is needed to represent the assay semantics."
620e2e4d,DOC-CAR-T-001,Vi-CELL XR automated cell counter,vi-cell xr automated cell counter,instrument,0.95,NCIT:C178866,Automated Cell Counter,NCIT,0.744,True,escalate,No suitable existing ontology term found; new term proposal required.,laboratory_operations_steward,escalated,"The Vi-CELL XR is an automated cell counting instrument used for viable cell density via trypan blue exclusion, which matches NCIT's 'Automated Cell Counter' definition. However, none of the candidates represent the specific Vi-CELL XR model/brand, so a new term (or a more specific existing device term) would be needed to capture that exact instrument."
620e2e4d,DOC-CAR-T-001,CD3+ T cells,cd3+ t cells,cell_type,0.95,fma0325956,CD3+ T lymphocyte,FMA,0.644,False,human_review,Mapping confidence 0.64 is between thresholds (0.60–0.88); routed for expert validation.,biology_ontology_steward,pending_review,"The context refers to a cell type identified by surface expression of CD3 in a flow cytometry panel, i.e., CD3+ T lymphocytes. Among the candidates, the FMA term ""CD3+ T lymphocyte"" best matches the intended cell type, whereas OBI:1110047 is specifically a cultured cell population and several others are measurement/count phenotypes rather than the cells themselves."
620e2e4d,DOC-CAR-T-001,flow cytometry,flow cytometry,assay,0.95,OBI_0000916,flow cytometry assay,OBI,0.598,False,escalate,Mapping confidence 0.60 is below minimum threshold 0.60.,assay_ontology_steward,escalated,"The context describes using flow cytometry as an assay to quantify CD3+ T cells with a multicolor antibody panel, which matches OBI's specific term 'flow cytometry assay'. OBI is a primary authority for assay/experimental process terms, making it preferable to general technique entries in MeSH/NCIT/CHMO."
620e2e4d,DOC-CAR-T-001,Glucose,glucose,molecule,0.95,CHEBI:17234,glucose,CHEBI,0.994,False,auto_approve,Mapping confidence 0.99 exceeds auto-approval threshold 0.88 with no active conflicts.,,approved,The context refers to the molecule glucose measured in concentration units. ChEBI is the authoritative chemical ontology and CHEBI:17234 is the exact term for glucose; other entries are duplicates or from less appropriate ontologies for a molecule identifier.
620e2e4d,DOC-CAR-T-001,lactate,lactate,molecule,0.95,CHEBI:24996,lactate,CHEBI,0.994,False,auto_approve,Mapping confidence 0.99 exceeds auto-approval threshold 0.88 with no active conflicts.,,approved,"In this context lactate refers to the metabolite measured in solution (typically present as the lactate anion at physiological pH). CHEBI:24996 is the authoritative ChEBI entry for lactate, whereas the BAO term is a measurement kit and not the molecule."
620e2e4d,DOC-CAR-T-001,Viable cell density,viable cell density,measurement,0.9,AFO_/result#AFR:0001108,viable cell density (cell counter),AFO,0.816,False,escalate,Term is involved in a detected conflict; requires expert resolution.,assay_ontology_steward,escalated,"The context reports a numeric concentration (cells/mL) obtained from an automated cell counter using trypan blue exclusion, which matches the AFO term for a cell counter result quantifying viable cell number density. NCIT terms are either generic (cell density) or refer to a count rather than a density, making them less semantically precise here."
620e2e4d,DOC-CAR-T-001,Cell viability,cell viability,measurement,0.9,bao#BAO_0000202,percent cell viability,BAO,0.508,False,escalate,Term is involved in a detected conflict; requires expert resolution.,assay_ontology_steward,escalated,"The context reports a numeric value with a percent sign (94.2%), indicating a measurement of viability expressed as a percentage rather than an assay type or a phenotype. BAO_0000202 explicitly represents the measured endpoint 'percent cell viability', matching both semantics and unit."
620e2e4d,DOC-CAR-T-001,CD3/CD4/CD8 multi-colour panel,cd3/cd4/cd8 multi-colour panel,assay,0.9,,,,0.12,True,escalate,No suitable existing ontology term found; new term proposal required.,assay_ontology_steward,escalated,"The term refers to a flow cytometry antibody/fluorochrome staining panel (CD3/CD4/CD8 multicolor panel), not a CD4:CD8 ratio, a clinical phenotype, a CAR-T product, or a specific cell count concept. None of the candidates represent the assay reagent/panel used for flow cytometry, so a new term (or a more appropriate existing term in an assay/OBI context) is needed."
620e2e4d,DOC-CAR-T-001,Transduction efficiency,transduction efficiency,measurement,0.9,NCIT:C222602,Virus Transduction Efficiency,NCIT,0.858,False,escalate,Term is involved in a detected conflict; requires expert resolution.,assay_ontology_steward,escalated,"The context describes percent CAR-positive cells after lentiviral vector delivery, which is exactly viral transduction efficiency as a percentage. NCIT:C222602 is semantically specific to viral vector transduction, whereas generic 'efficiency' terms (PATO/MESH) are too broad and unrelated to gene delivery."
